No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,Prod.code [84],U.S. viewers(millions)
79,1,"""Super Watermelon Island"" (Part 1)",Joe Johnston (supervising)Jasmin Lai (art),Joe Johnston and Jeff Liu,"May 12, 2016",1031-080,1.69[85]
"Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them.","Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them.","Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them.","Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them.","Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them.","Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them.","Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them.","Using his astral projection ability, Steven discovers that the Watermelon Stevens have formed their own civilization on Mask Island. However, when he sees Malachite on the island as well, the Gems head into action to fight Malachite as Alexandrite, with the Watermelon Stevens helping them."
80,2,"""Gem Drill"" (Part 2)",Kat Morris (supervising)Jasmin Lai (art),Raven M. Molisee and Paul Villeco,"May 12, 2016",1031-081,1.69[85]
"With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth.","With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth.","With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth.","With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth.","With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth.","With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth.","With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth.","With the other Gems stranded on Mask Island and the Cluster beginning to show signs of forming, Steven and Peridot drill deep underground alone in order to stop the Cluster and save Earth."
81,3,"""Same Old World""",Joe Johnston (supervising)Jasmin Lai (art),Lamar Abrams and Katie Mitroff,"May 19, 2016",1031-083,1.40[86]
"Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home.","Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home.","Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home.","Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home.","Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home.","Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home.","Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home.","Lapis Lazuli has nowhere left to go after being freed from her fusion with Jasper, so Steven shows her the locations Earth has to offer to find her a new home."
82,4,"""Barn Mates""",Joe Johnston (supervising)Jasmin Lai (art),Hilary Florido and Jesse Zuke,"May 26, 2016[nb 7]",1031-082,1.37[87]
Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.,Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.,Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.,Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.,Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.,Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.,Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.,Steven tries to help Peridot and Lapis Lazuli resolve their past conflicts and get along at the barn.
83,5,"""Hit the Diamond""",Joe Johnston (supervising)Jasmin Lai (art),Joe Johnston and Jeff Liu,"June 2, 2016[nb 7]",1031-084,1.55[88]
"A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball.","A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball.","A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball.","A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball.","A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball.","A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball.","A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball.","A dispatch team of five Ruby soldiers arrive from Homeworld in search of the missing Earth mission leader. To protect Peridot, the Crystal Gems (with Garnet splitting into Ruby and Sapphire again) attempt to get rid of the gullible Rubies by challenging them to a game of baseball."
84,6,"""Steven Floats""",Kat Morris (supervising)Jasmin Lai (art),Paul Villeco,"July 18, 2016[nb 8]",1031-085,1.55[89]
"Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground.","Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground.","Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground.","Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground.","Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground.","Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground.","Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground.","Upon returning home with the Gems, Steven discovers he has the ability to float in the air. However, after jumping too high, he becomes stuck in the sky; the Gems spend all night attempting to get him back on the ground."
85,7,"""Drop Beat Dad""",Joe Johnston (supervising)Jasmin Lai (art),Lamar Abrams and Katie Mitroff,"July 18, 2016",1031-087,1.55[89]
"Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail.","Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail.","Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail.","Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail.","Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail.","Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail.","Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail.","Sour Cream's estranged biological father Marty returns to Beach City and aids him in hosting a concert, much to the dismay of his stepdad, Yellowtail."
86,8,"""Mr. Greg""",Joe Johnston (supervising)Jasmin Lai (art),Joe Johnston and Jeff Liu,"July 19, 2016",1031-088,1.55[90]
"In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation.","In this special musical episode, after Greg suddenly comes into a great deal of money, he takes Steven and Pearl on a vacation to Empire City. However, Pearl is having trouble letting go of her resentment of Greg's relationship with Rose Quartz.This episode was nominated for an Emmy Award for Outstanding Short-Form Animation."
87,9,"""Too Short to Ride""",Kat Morris (supervising)Jasmin Lai (art),Hilary Florido and Jesse Zuke,"July 20, 2016",1031-086,1.41[91]
