No.overall,No. inseason,Title,Directed by,Written and storyboarded by,Original air date,U.S. viewers(millions)
129,1,"""Stuck Together"" (Part 1)",Kat Morris (supervising)Liz Artinian (art),Jesse Zuke,"May 29, 2017[nb 15]",1.53[129]
"Steven and Lars, stuck inside Topaz, try to look for a way to escape the Homeworld-bound ship. Their heartfelt conversation commiserating over their plight earns them Topaz's sympathy.","Steven and Lars, stuck inside Topaz, try to look for a way to escape the Homeworld-bound ship. Their heartfelt conversation commiserating over their plight earns them Topaz's sympathy.","Steven and Lars, stuck inside Topaz, try to look for a way to escape the Homeworld-bound ship. Their heartfelt conversation commiserating over their plight earns them Topaz's sympathy.","Steven and Lars, stuck inside Topaz, try to look for a way to escape the Homeworld-bound ship. Their heartfelt conversation commiserating over their plight earns them Topaz's sympathy.","Steven and Lars, stuck inside Topaz, try to look for a way to escape the Homeworld-bound ship. Their heartfelt conversation commiserating over their plight earns them Topaz's sympathy.","Steven and Lars, stuck inside Topaz, try to look for a way to escape the Homeworld-bound ship. Their heartfelt conversation commiserating over their plight earns them Topaz's sympathy.","Steven and Lars, stuck inside Topaz, try to look for a way to escape the Homeworld-bound ship. Their heartfelt conversation commiserating over their plight earns them Topaz's sympathy."
130,2,"""The Trial"" (Part 2)",Joe Johnston (supervising)Liz Artinian (art),Katie Mitroff and Paul Villeco,"May 29, 2017",1.53[129]
"Steven is put on trial before Blue and Yellow Diamond for Rose Quartz's assassination of Pink Diamond. During the trial, Steven's attorney, a Zircon, analyses the evidence and argues that the public account of Pink Diamond's death doesn't make sense, and suggests that the true facts of the case have been covered up.","Steven is put on trial before Blue and Yellow Diamond for Rose Quartz's assassination of Pink Diamond. During the trial, Steven's attorney, a Zircon, analyses the evidence and argues that the public account of Pink Diamond's death doesn't make sense, and suggests that the true facts of the case have been covered up.","Steven is put on trial before Blue and Yellow Diamond for Rose Quartz's assassination of Pink Diamond. During the trial, Steven's attorney, a Zircon, analyses the evidence and argues that the public account of Pink Diamond's death doesn't make sense, and suggests that the true facts of the case have been covered up.","Steven is put on trial before Blue and Yellow Diamond for Rose Quartz's assassination of Pink Diamond. During the trial, Steven's attorney, a Zircon, analyses the evidence and argues that the public account of Pink Diamond's death doesn't make sense, and suggests that the true facts of the case have been covered up.","Steven is put on trial before Blue and Yellow Diamond for Rose Quartz's assassination of Pink Diamond. During the trial, Steven's attorney, a Zircon, analyses the evidence and argues that the public account of Pink Diamond's death doesn't make sense, and suggests that the true facts of the case have been covered up.","Steven is put on trial before Blue and Yellow Diamond for Rose Quartz's assassination of Pink Diamond. During the trial, Steven's attorney, a Zircon, analyses the evidence and argues that the public account of Pink Diamond's death doesn't make sense, and suggests that the true facts of the case have been covered up.","Steven is put on trial before Blue and Yellow Diamond for Rose Quartz's assassination of Pink Diamond. During the trial, Steven's attorney, a Zircon, analyses the evidence and argues that the public account of Pink Diamond's death doesn't make sense, and suggests that the true facts of the case have been covered up."
131,3,"""Off Colors"" (Part 3)",Joe Johnston (supervising)Liz Artinian (art),Lamar Abrams and Jeff Liu,"May 29, 2017",1.52[129]
"After escaping from the Diamonds, Steven and Lars encounter and befriend the ""off-colors"", a group of ""defective"" Gems who live in hiding from Gem society.","After escaping from the Diamonds, Steven and Lars encounter and befriend the ""off-colors"", a group of ""defective"" Gems who live in hiding from Gem society.","After escaping from the Diamonds, Steven and Lars encounter and befriend the ""off-colors"", a group of ""defective"" Gems who live in hiding from Gem society.","After escaping from the Diamonds, Steven and Lars encounter and befriend the ""off-colors"", a group of ""defective"" Gems who live in hiding from Gem society.","After escaping from the Diamonds, Steven and Lars encounter and befriend the ""off-colors"", a group of ""defective"" Gems who live in hiding from Gem society.","After escaping from the Diamonds, Steven and Lars encounter and befriend the ""off-colors"", a group of ""defective"" Gems who live in hiding from Gem society.","After escaping from the Diamonds, Steven and Lars encounter and befriend the ""off-colors"", a group of ""defective"" Gems who live in hiding from Gem society."
132,4,"""Lars' Head"" (Part 4)",Kat Morris (supervising)Liz Artinian (art),Jeff Liu and Madeline Queripel,"May 29, 2017",1.52[129]
"After Steven brings Lars back to life with his healing powers, he discovers that Lars now shares the same powers as Lion. When Steven realizes that he can use Lars's hair to teleport himself back to Earth (via Lion's mane), he and Lars must make a difficult choice.","After Steven brings Lars back to life with his healing powers, he discovers that Lars now shares the same powers as Lion. When Steven realizes that he can use Lars's hair to teleport himself back to Earth (via Lion's mane), he and Lars must make a difficult choice.","After Steven brings Lars back to life with his healing powers, he discovers that Lars now shares the same powers as Lion. When Steven realizes that he can use Lars's hair to teleport himself back to Earth (via Lion's mane), he and Lars must make a difficult choice.","After Steven brings Lars back to life with his healing powers, he discovers that Lars now shares the same powers as Lion. When Steven realizes that he can use Lars's hair to teleport himself back to Earth (via Lion's mane), he and Lars must make a difficult choice.","After Steven brings Lars back to life with his healing powers, he discovers that Lars now shares the same powers as Lion. When Steven realizes that he can use Lars's hair to teleport himself back to Earth (via Lion's mane), he and Lars must make a difficult choice.","After Steven brings Lars back to life with his healing powers, he discovers that Lars now shares the same powers as Lion. When Steven realizes that he can use Lars's hair to teleport himself back to Earth (via Lion's mane), he and Lars must make a difficult choice.","After Steven brings Lars back to life with his healing powers, he discovers that Lars now shares the same powers as Lion. When Steven realizes that he can use Lars's hair to teleport himself back to Earth (via Lion's mane), he and Lars must make a difficult choice."
133,5,"""Dewey Wins""",Joe Johnston (supervising)Liz Artinian (art),Lamar Abrams and Jeff Liu,"December 15, 2017[nb 16]",0.85[130]
"Connie becomes upset with Steven following his return from Homeworld and refuses to talk to him. Feeling dejected, he decides to help Bill Dewey with his rather hopeless re-election campaign for mayor against Nanefua Pizza.","Connie becomes upset with Steven following his return from Homeworld and refuses to talk to him. Feeling dejected, he decides to help Bill Dewey with his rather hopeless re-election campaign for mayor against Nanefua Pizza.","Connie becomes upset with Steven following his return from Homeworld and refuses to talk to him. Feeling dejected, he decides to help Bill Dewey with his rather hopeless re-election campaign for mayor against Nanefua Pizza.","Connie becomes upset with Steven following his return from Homeworld and refuses to talk to him. Feeling dejected, he decides to help Bill Dewey with his rather hopeless re-election campaign for mayor against Nanefua Pizza.","Connie becomes upset with Steven following his return from Homeworld and refuses to talk to him. Feeling dejected, he decides to help Bill Dewey with his rather hopeless re-election campaign for mayor against Nanefua Pizza.","Connie becomes upset with Steven following his return from Homeworld and refuses to talk to him. Feeling dejected, he decides to help Bill Dewey with his rather hopeless re-election campaign for mayor against Nanefua Pizza.","Connie becomes upset with Steven following his return from Homeworld and refuses to talk to him. Feeling dejected, he decides to help Bill Dewey with his rather hopeless re-election campaign for mayor against Nanefua Pizza."
