,No.overall,Directed by,No. inseason,date,Prod.code,episode,Viewers_millions,Written and storyboarded by
0,1,Ian Jones-Quartey (supervising)Kevin Dart (art),1,2013-11-04,1020-003,"""Gem Glow""",1.86,Joe Johnston and Jeff Liu
1,2,Ian Jones-Quartey (supervising)Kevin Dart (art),2,2013-11-04,1020-001,"""Laser Light Cannon""",1.86,Kat Morris and Rebecca Sugar
2,3,Ian Jones-Quartey (supervising)Kevin Dart (art),3,2013-11-11,1020-002,"""Cheeseburger Backpack""",1.68,Ian Jones-Quartey and Rebecca Sugar
3,4,Ian Jones-Quartey (supervising)Kevin Dart (art),4,2013-11-11,1020-004,"""Together Breakfast""",1.68,"Ian Jones-Quartey, Rebecca Sugar, and Paul Villeco"
4,5,Ian Jones-Quartey (supervising)Kevin Dart (art),5,2013-11-18,1020-008,"""Frybo""",1.29,Raven M. Molisee and Paul Villeco
5,6,Ian Jones-Quartey (supervising)Kevin Dart (art),6,2013-11-25,1020-005,"""Cat Fingers""",1.71,"Kat Morris, Hilary Florido, Ian Jones-Quartey, and Rebecca Sugar"
6,7,Ian Jones-Quartey (supervising)Kevin Dart (art),7,2013-12-02,1020-006,"""Bubble Buddies""",1.61,Kat Morris and Aleth Romanillos
7,8,Ian Jones-Quartey (supervising)Kevin Dart (art),8,2014-01-13,1020-007,"""Serious Steven""",1.35,Joe Johnston and Jeff Liu
8,9,Ian Jones-Quartey (supervising)Kevin Dart (art),9,2014-01-20,1020-011,"""Tiger Millionaire""",1.57,Raven M. Molisee and Paul Villeco
9,10,Ian Jones-Quartey (supervising)Kevin Dart and Elle Michalka (art),10,2014-01-27,1020-012,"""Steven's Lion""",1.51,Lamar Abrams and Aleth Romanillos
10,11,Ian Jones-Quartey (supervising)Kevin Dart (art),11,2014-02-17,1020-009,"""Arcade Mania""",1.17,"Lamar Abrams, Aleth Romanillos, and Luke Weber"
11,12,Ian Jones-Quartey (supervising)Kevin Dart (art),12,2014-02-24,1020-010,"""Giant Woman""",1.89,Joe Johnston and Jeff Liu
12,13,Ian Jones-Quartey (supervising)Elle Michalka (art),13,2014-03-03,1020-014,"""So Many Birthdays""",1.17,Raven M. Molisee and Paul Villeco
13,14,Ian Jones-Quartey (supervising)Elle Michalka (art),14,2014-03-10,1020-015,"""Lars and the Cool Kids""",1.5,Lamar Abrams and Matt Braly
14,15,Ian Jones-Quartey (supervising)Elle Michalka (art),15,2014-03-17,1020-018,"""Onion Trade""",1.79,Lamar Abrams
15,16,Ian Jones-Quartey (supervising)Elle Michalka (art),16,2014-04-09,1020-013,"""Steven the Sword Fighter""",1.1,Joe Johnston and Jeff Liu
16,17,Ian Jones-Quartey (supervising)Elle Michalka (art),17,2014-04-23,1020-017,"""Lion 2: The Movie""",1.57,Joe Johnston and Jeff Liu
17,18,Ian Jones-Quartey (supervising)Elle Michalka (art),18,2014-04-30,1020-020,"""Beach Party""",1.44,Lamar Abrams
18,19,Ian Jones-Quartey (supervising)Elle Michalka (art),19,2014-05-14,1020-019,"""Rose's Room""",1.55,Joe Johnston and Jeff Liu
19,20,Ian Jones-Quartey (supervising)Elle Michalka (art),20,2014-08-21,1020-016,"""Coach Steven""",1.85,Raven M. Molisee and Paul Villeco
20,21,Ian Jones-Quartey (supervising)Elle Michalka (art),21,2014-08-28,1020-024,"""Joking Victim""",1.63,Raven M. Molisee and Paul Villeco
21,22,Ian Jones-Quartey (supervising)Elle Michalka (art),22,2014-09-04,1020-021,"""Steven and the Stevens""",2.14,Joe Johnston and Jeff Liu
22,23,Ian Jones-Quartey (supervising)Elle Michalka (art),23,2014-09-11,1020-022,"""Monster Buddies""",2.07,Lamar Abrams and Hellen Jo
23,24,Ian Jones-Quartey (supervising)Elle Michalka (art),24,2014-09-18,1020-023,"""An Indirect Kiss""",1.73,Raven M. Molisee and Paul Villeco
