Category: All categories

Week,steven universe: (Worldwide)
2014-06-08,3
2014-06-15,3
2014-06-22,3
2014-06-29,2
2014-07-06,3
2014-07-13,3
2014-07-20,4
2014-07-27,4
2014-08-03,3
2014-08-10,4
2014-08-17,6
2014-08-24,7
2014-08-31,6
2014-09-07,6
2014-09-14,6
2014-09-21,9
2014-09-28,8
2014-10-05,8
2014-10-12,8
2014-10-19,7
2014-10-26,6
2014-11-02,6
2014-11-09,6
2014-11-16,5
2014-11-23,5
2014-11-30,6
2014-12-07,5
2014-12-14,5
2014-12-21,5
2014-12-28,6
2015-01-04,8
2015-01-11,10
2015-01-18,11
2015-01-25,9
2015-02-01,10
2015-02-08,10
2015-02-15,10
2015-02-22,10
2015-03-01,11
2015-03-08,34
2015-03-15,43
2015-03-22,33
2015-03-29,38
2015-04-05,37
2015-04-12,32
2015-04-19,30
2015-04-26,31
2015-05-03,28
2015-05-10,24
2015-05-17,22
2015-05-24,23
2015-05-31,25
2015-06-07,25
2015-06-14,63
2015-06-21,51
2015-06-28,42
2015-07-05,48
2015-07-12,98
2015-07-19,67
2015-07-26,55
2015-08-02,51
2015-08-09,43
2015-08-16,40
2015-08-23,35
2015-08-30,36
2015-09-06,43
2015-09-13,40
2015-09-20,44
2015-09-27,45
2015-10-04,43
2015-10-11,42
2015-10-18,34
2015-10-25,31
2015-11-01,27
2015-11-08,24
2015-11-15,23
2015-11-22,23
2015-11-29,22
2015-12-06,20
2015-12-13,22
2015-12-20,28
2015-12-27,31
2016-01-03,83
2016-01-10,48
2016-01-17,37
2016-01-24,35
2016-01-31,32
2016-02-07,31
2016-02-14,30
2016-02-21,29
2016-02-28,30
2016-03-06,28
2016-03-13,27
2016-03-20,28
2016-03-27,26
2016-04-03,23
2016-04-10,22
2016-04-17,24
2016-04-24,25
2016-05-01,25
2016-05-08,44
2016-05-15,45
2016-05-22,50
2016-05-29,39
2016-06-05,33
2016-06-12,30
2016-06-19,30
2016-06-26,30
2016-07-03,33
2016-07-10,30
2016-07-17,65
2016-07-24,69
2016-07-31,82
2016-08-07,100
2016-08-14,63
2016-08-21,58
2016-08-28,53
2016-09-04,51
2016-09-11,44
2016-09-18,39
2016-09-25,32
2016-10-02,31
2016-10-09,28
2016-10-16,24
2016-10-23,24
2016-10-30,24
2016-11-06,22
2016-11-13,29
2016-11-20,24
2016-11-27,25
2016-12-04,23
2016-12-11,22
2016-12-18,23
2016-12-25,22
2017-01-01,47
2017-01-08,33
2017-01-15,31
2017-01-22,34
2017-01-29,42
2017-02-05,40
2017-02-12,39
2017-02-19,37
2017-02-26,33
2017-03-05,30
2017-03-12,28
2017-03-19,25
2017-03-26,23
2017-04-02,22
2017-04-09,21
2017-04-16,20
2017-04-23,20
2017-04-30,31
2017-05-07,42
2017-05-14,29
2017-05-21,28
2017-05-28,62
2017-06-04,34
2017-06-11,29
2017-06-18,27
2017-06-25,26
2017-07-02,26
2017-07-09,26
2017-07-16,25
2017-07-23,28
2017-07-30,23
2017-08-06,21
2017-08-13,19
2017-08-20,19
2017-08-27,19
2017-09-03,17
2017-09-10,15
2017-09-17,14
2017-09-24,14
2017-10-01,14
2017-10-08,14
2017-10-15,13
2017-10-22,13
2017-10-29,14
2017-11-05,19
2017-11-12,19
2017-11-19,14
2017-11-26,12
2017-12-03,12
2017-12-10,13
2017-12-17,15
2017-12-24,16
2017-12-31,24
2018-01-07,26
2018-01-14,19
2018-01-21,17
2018-01-28,16
2018-02-04,15
2018-02-11,14
2018-02-18,13
2018-02-25,12
2018-03-04,12
2018-03-11,12
2018-03-18,13
2018-03-25,23
2018-04-01,16
2018-04-08,14
2018-04-15,13
2018-04-22,13
2018-04-29,16
2018-05-06,45
2018-05-13,24
2018-05-20,19
2018-05-27,18
2018-06-03,15
2018-06-10,14
2018-06-17,13
2018-06-24,16
2018-07-01,60
2018-07-08,44
2018-07-15,32
2018-07-22,55
2018-07-29,30
2018-08-05,24
2018-08-12,22
2018-08-19,20
2018-08-26,18
2018-09-02,17
2018-09-09,15
2018-09-16,14
2018-09-23,13
2018-09-30,12
2018-10-07,11
2018-10-14,11
2018-10-21,10
2018-10-28,10
2018-11-04,10
2018-11-11,9
2018-11-18,11
2018-11-25,10
2018-12-02,11
2018-12-09,10
2018-12-16,16
2018-12-23,24
2018-12-30,29
2019-01-06,25
2019-01-13,17
2019-01-20,59
2019-01-27,24
2019-02-03,17
2019-02-10,16
2019-02-17,15
2019-02-24,13
2019-03-03,12
2019-03-10,10
2019-03-17,10
2019-03-24,10
2019-03-31,9
2019-04-07,9
2019-04-14,10
2019-04-21,9
2019-04-28,9
2019-05-05,9
2019-05-12,9
2019-05-19,9
2019-05-26,9
2019-06-02,10
