No.overall,Directed by,No. inseason,Original air date,Prod.code,Title,U.S. viewers(millions),Written and storyboarded by
1,Ian Jones-Quartey (supervising)Kevin Dart (art),1,"November 4, 2013",1020-003,"""Gem Glow""",1.86,Joe Johnston and Jeff Liu
2,Ian Jones-Quartey (supervising)Kevin Dart (art),2,"November 4, 2013",1020-001,"""Laser Light Cannon""",1.86,Kat Morris and Rebecca Sugar
3,Ian Jones-Quartey (supervising)Kevin Dart (art),3,"November 11, 2013",1020-002,"""Cheeseburger Backpack""",1.68,Ian Jones-Quartey and Rebecca Sugar
4,Ian Jones-Quartey (supervising)Kevin Dart (art),4,"November 11, 2013",1020-004,"""Together Breakfast""",1.68,"Ian Jones-Quartey, Rebecca Sugar, and Paul Villeco"
5,Ian Jones-Quartey (supervising)Kevin Dart (art),5,"November 18, 2013",1020-008,"""Frybo""",1.29,Raven M. Molisee and Paul Villeco
6,Ian Jones-Quartey (supervising)Kevin Dart (art),6,"November 25, 2013",1020-005,"""Cat Fingers""",1.71,"Kat Morris, Hilary Florido, Ian Jones-Quartey, and Rebecca Sugar"
7,Ian Jones-Quartey (supervising)Kevin Dart (art),7,"December 2, 2013",1020-006,"""Bubble Buddies""",1.61,Kat Morris and Aleth Romanillos
8,Ian Jones-Quartey (supervising)Kevin Dart (art),8,"January 13, 2014",1020-007,"""Serious Steven""",1.35,Joe Johnston and Jeff Liu
9,Ian Jones-Quartey (supervising)Kevin Dart (art),9,"January 20, 2014",1020-011,"""Tiger Millionaire""",1.57,Raven M. Molisee and Paul Villeco
10,Ian Jones-Quartey (supervising)Kevin Dart and Elle Michalka (art),10,"January 27, 2014",1020-012,"""Steven's Lion""",1.51,Lamar Abrams and Aleth Romanillos
11,Ian Jones-Quartey (supervising)Kevin Dart (art),11,"February 17, 2014",1020-009,"""Arcade Mania""",1.17,"Lamar Abrams, Aleth Romanillos, and Luke Weber"
12,Ian Jones-Quartey (supervising)Kevin Dart (art),12,"February 24, 2014",1020-010,"""Giant Woman""",1.89,Joe Johnston and Jeff Liu
13,Ian Jones-Quartey (supervising)Elle Michalka (art),13,"March 3, 2014",1020-014,"""So Many Birthdays""",1.17,Raven M. Molisee and Paul Villeco
14,Ian Jones-Quartey (supervising)Elle Michalka (art),14,"March 10, 2014",1020-015,"""Lars and the Cool Kids""",1.50,Lamar Abrams and Matt Braly
15,Ian Jones-Quartey (supervising)Elle Michalka (art),15,"March 17, 2014",1020-018,"""Onion Trade""",1.79,Lamar Abrams
16,Ian Jones-Quartey (supervising)Elle Michalka (art),16,"April 9, 2014",1020-013,"""Steven the Sword Fighter""",1.10,Joe Johnston and Jeff Liu
17,Ian Jones-Quartey (supervising)Elle Michalka (art),17,"April 23, 2014",1020-017,"""Lion 2: The Movie""",1.57,Joe Johnston and Jeff Liu
18,Ian Jones-Quartey (supervising)Elle Michalka (art),18,"April 30, 2014",1020-020,"""Beach Party""",1.44,Lamar Abrams
